title,poster,url,rating,genres,star,star_time
名侦探柯南：贝克街的亡灵,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2890515833.webp,https://movie.douban.com/subject/2286642/,8.8,动漫,4,2023-04-12 19:29:02
深海,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2885941329.webp,https://movie.douban.com/subject/26649682/,7.4,动漫,3,2023-03-19 19:29:02
中国奇谭,https://img1.doubanio.com/view/photo/l/public/p2885130077.webp,https://movie.douban.com/subject/35674355/,9.4,动漫,4,2023-01-22 19:29:02
河畔须臾,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2674237490.jpg,https://movie.douban.com/subject/35230630/,8.2,电影,4,2023-01-20 19:29:02
三体,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2886492021.jpg,https://movie.douban.com/subject/26647087/,,电影,4,2023-01-17 16:38:37
弥留之国的爱丽丝 第一季,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2624050592.jpg,https://movie.douban.com/subject/34477588/,8,韩剧,4,2023-01-04 16:38:37
弥留之国的爱丽丝 第二季,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2884687278.jpg,https://movie.douban.com/subject/35300122/,6.3,韩剧,3,2023-01-04 16:38:32
First love,https://img1.doubanio.com/view/photo/l/public/p2882622250.webp,https://movie.douban.com/subject/35275350/,8.4,日剧,4,2023-01-04 16:38:32
排球少年 第四季,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2569422684.jpg,https://movie.douban.com/subject/30411330/,9.2,动漫,4,2022-01-04 18:40:07
心灵奇旅,https://img2.doubanio.com/view/photo/l/public/p2626464672.webp,https://movie.douban.com/subject/24733428/ ,8.7,动漫,4,2022-01-23 18:40:07
咒术回战 0,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2708190250.jpg,https://movie.douban.com/subject/35414623/,8.2,动漫,4,2022-01-04 18:39:51
咒术回战,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2620216005.jpg,https://movie.douban.com/subject/34895145/,8.5,动漫,5,2022-01-04 18:39:48
假面骑士亚极陀,https://img9.doubanio.com/view/photo/l/public/p2873191626.webp,https://movie.douban.com/subject/1998570/,9.4,动漫,5,2022-01-04 18:39:30
假面骑士创骑,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2497465172.jpg,https://movie.douban.com/subject/27073290/,8.7,动漫,3,2022-01-04 18:39:20
假面骑士空我,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2344478509.jpg,https://movie.douban.com/subject/1779625/,9.6,动漫,5,2022-01-04 18:39:07
春夜,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2554598542.jpg,https://movie.douban.com/subject/30428225/,8.4,韩剧,4,2022-01-04 18:38:38
新神榜：杨戬,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2878224156.jpg,https://movie.douban.com/subject/35360684/,7,动漫,3,2022-01-04 16:40:43
但是还有书籍,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2577256090.jpg,https://movie.douban.com/subject/33418361/,9,纪录片,4,2022-01-04 16:40:33
那年，我们的夏天,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2741745122.jpg,https://movie.douban.com/subject/35402776/,8.7,韩剧,5,2022-01-04 16:40:09
机智医生生活 第二季,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2649727974.jpg,https://movie.douban.com/subject/35049544/,9.5,韩剧,5,2022-01-04 16:39:31
机智医生生活,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2586800409.jpg,https://movie.douban.com/subject/33464863/,9.5,韩剧,5,2022-01-04 16:39:27
情书,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2648230660.jpg,https://movie.douban.com/subject/1292220/,8.9,电影,5,2022-01-04 16:38:08
哈利·波特与死亡圣器(上),https://img9.doubanio.com/view/photo/m_ratio_poster/public/p721429854.jpg,https://movie.douban.com/subject/2051007/,8.5,电影,4,2022-01-04 14:46:28
哈利·波特与混血王子,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1108070214.jpg,https://movie.douban.com/subject/1433330/,8.3,电影,4,2022-01-04 14:46:25
哈利·波特与凤凰社,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p443403700.jpg,https://movie.douban.com/subject/1457217/,8.5,电影,5,2022-01-04 14:46:20
哈利·波特与密室,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1082651990.jpg,https://movie.douban.com/subject/1296996/,8.8,电影,5,2022-01-04 14:46:17
哈利·波特与火焰杯,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p735391084.jpg,https://movie.douban.com/subject/1309055/,8.8,电影,5,2022-01-04 14:46:13
哈利·波特与死亡圣器(下),https://img2.doubanio.com/view/photo/m_ratio_poster/public/p917846733.jpg,https://movie.douban.com/subject/3011235/,9,电影,4,2022-01-04 14:46:09
哈利·波特与阿兹卡班的囚徒,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p1910812549.jpg,https://movie.douban.com/subject/1291544/,8.9,电影,5,2022-01-04 14:46:01
哈利·波特与魔法石,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2614949805.jpg,https://movie.douban.com/subject/1295038/,9.2,电影,5,2022-01-04 14:45:54
这个杀手不太冷,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p511118051.jpg,https://movie.douban.com/subject/1295644/,9.4,电影,4,2022-01-04 14:45:54
